Respondent Age	Enumerator Name	Age	Gender	Community / Area	Occupation	Biggest Community Problems	Other Community Problem	Problem That Affects You Most	Current Solutions	What Is Missing or Not Working	Support That Would Help	Other Support Needed	Who Needs Support Most	Top Priority Problem	Why Is This Urgent	Preferred Communication Channel	Other Communication Channel	Barriers to Using New Services	Additional Comments
26-35			Male	Grafton	Student	Water or sanitation problems		Transportation 	Trying to stop drug addiction 	None	Health services		Youth	Water problem	Water and light	Phone / WhatsApp,Community meetings		Cost and lack of communication 	Support school going children in the community 
36-50			Female	Grafton	Trader	Water or sanitation problems,Other	Poverty, electricity 	Electricity 
Water	
Water Well built by a company 
No apparent solutions for the electricity 	Water is not sufficient as there’s only water well and the number of people in the community is large	Other,Job opportunities,Education support	Financial 	Children,Women	Water scarcity 	Affects the well being and education of children and also disturb business women are involved in	Community meetings		Trust because the NGO that bought them in this community already left them.	This community is from the Bombay slums who, were given relief only to be left to survive on their on without much help from the NGO
36-50			Male	Grafton	Employed	Water or sanitation problems	Education 	Water 	Water 	Access to Health care  and poor Road network lead to difficult during night some of the people get stock 	Education support,Mental health support,Health services		Everyone	Water 	Because during the raining season and also the drying season they find it very different to access clear water 	Community meetings		Cost 	Food support is another problem, the people depends on harms giving only few are working 

Above 50			Female	Grafton	Tailor	Unemployment	Poverty 	Unemployment 	No apparent solution 	No solutions tried as of now 	Job opportunities		Everyone	Unemployment 	Because it’s affect the financial status of households 	Community meetings		Lack of information 	No other comments 
26-35			Female	Grafton	Housewife	Insecurity	Electricity and Road 	Electricity 	No ideas 	Community collaboration 	Business or financial support	Financial support for women to be self Reliance 	Women	Electricity is the major problem 	Because it is hard to overcome 	Community meetings,Phone / WhatsApp,Radio	Letter writing to EDSA Management 	The market is far to reach. 	The community is also facing Gender violence 
18-25			Male	Grafton	Employed	Poverty,Unemployment,Mental health challenges,Poor healthcare		Light and electricity because my job requires it.	Community heads men help in achieving most of the problems	Laise 	Job opportunities,Education support,Mental health support		Youth	Job employment	There is limited job opportunities 	Radio			
26-35			Female	Grafton	Employed	Water or sanitation problems,Insecurity		Water or sanitation 	Family support 	the help we get is not enough. Families try their best, but there is no proper system or support from outside, so the problem is still there.
	Women and girls support		Everyone	Water and sanitation 	This is urgent because lack of clean water and sanitation can cause sickness and makes life very difficult for people in the community.”	Community meetings		Cost because Many people may not be able to afford it, so cost can stop them from using the service.”	We really need more support in our community, especially for water and sanitation. If this is improved, it will help everyone live better and healthier.
